3.7349,-0.27165,-0.30868
3.7349,0.50216,-0.30868
-0.61791,3.688,2.1086
3.7349,-0.28333,-0.30868
3.7349,-0.31837,-0.30868
-0.61791,-0.34173,0.4205
3.7349,-0.32129,-0.30868
3.7349,0.4204,-0.30868
-0.61791,-0.34173,0.42356
-0.61791,0.64817,-0.30868
-0.61791,3.3375,2.1086
-0.61791,-0.34173,3.9193
0.78888,-0.34173,-0.30868
1.7951,-0.34173,-0.30868
1.3566,-0.34173,-0.30868
3.9873,3.9216,-0.30868
-0.61791,3.8865,1.5326
1.508,-0.34173,-0.30868
3.9873,3.9216,4.1644
-0.61791,0.80585,4.1644
-0.61791,1.9856,-0.30868
1.5932,-0.34173,-0.30868
1.855,-0.34173,-0.30868
-0.61791,0.44084,2.222
1.8613,-0.34173,-0.30868
0.076023,-0.34173,-0.31174
1.5364,-0.34173,-0.30868
3.9873,3.904,-0.30868
2.0695,-0.34173,-0.30868
2.019,-0.34173,-0.30868
3.9873,3.9216,0.65947
3.9873,3.9216,-0.18306
2.0916,-0.34173,-0.30868
-0.61791,3.8865,2.0045
2.0916,-0.34173,-0.30868
1.5964,-0.34173,-0.30868
-0.61791,0.44084,2.3292
1.8613,-0.34173,-0.30868
-0.61791,0.061235,-0.30868
1.426,-0.34173,-0.30868
-0.61791,3.3375,2.1086
1.5554,-0.34173,-0.30868
-0.61791,3.688,1.0915
-0.61791,3.688,1.741
2.7161,-0.34173,-0.30868
2.3849,-0.34173,-0.30868
0.94659,-0.34173,-0.30868
1.5333,-0.34173,-0.30868
-0.61791,3.9216,4.1644
1.4323,-0.34173,-0.30868
-0.61791,3.9216,4.1644
2.6972,-0.34173,-0.30868
-0.61791,0.73869,4.1644
0.11072,-0.34173,-0.30868
3.7349,0.2306,-0.30868
-0.61791,0.84965,-0.30868
3.5614,-0.34173,-0.30868
-0.61791,3.688,3.9193
3.7349,-0.073088,0.61045
3.7349,0.23352,-0.30868
3.7349,0.23644,-0.30868
3.552,-0.34173,-0.30868
0.8835,-0.34173,-0.30868
-0.61791,0.56349,-0.30868
1.4796,-0.34173,-0.30868
1.5617,-0.34173,-0.30868
1.568,-0.34173,-0.30868
-0.61791,-0.13733,-0.30868
